comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Simon	10768	0.4241192606835704	0.4290977453461524	0.4040409132385993	0.6356421267022815	0.46603589009662594	0.35233258131719436	1.0098771185177813	1.310426560867042	1.3197301927193539e-17	0.6356421267022818
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Zimmer	10768	0.1025555993365293	0.13518158213613937	0.790854014947202	0.8892997329062918	0.665379464356965	0.5177555815657138	1.4100566896574154	1.8296320819364797	-5.278920770877416e-18	0.8892997329062933
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Bazzini	10768	0.30755610176151665	0.3522799454463244	1.7976039389424452	1.3407475299035405	1.0458472132954204	0.8680761279249354	2.1179035348651194	2.6463220702068053	1.0557841541754831e-17	1.3407475299035378
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Cramer	10768	0.2878339826621574	0.3476194157159305	0.6634831086460683	0.8145447247671967	0.5850558324192828	0.41831717106954613	1.316535292346637	1.6726152698471033	6.5986509635967696e-18	0.8145447247671955
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Cramer2	10768	0.09214317903937995	0.12927153913891787	1.7284270666991735	1.3146965682997631	1.0047259479692099	0.8021266946803417	2.1149325915577433	2.663657691538836	0.0	1.314696568299764
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Darnell	10768	-0.05555648953275207	-0.06526515622864387	0.753618411047275	0.8681119807071407	0.6467664708216472	0.5112685799219752	1.346732664901828	1.7051357944027752	-2.0455817987149988e-17	0.8681119807071405
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Dieterich	10768	0.15703824650911835	0.176574611075049	0.6333198717066119	0.7958139680268321	0.5912478908486025	0.4634669863107105	1.2322101537697019	1.5344476736607693	-2.1115683083509663e-17	0.7958139680268324
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	He	10768	-0.1247782831517163	-0.16547164380042484	0.8328388524926269	0.9126000506753366	0.6781125312716259	0.5327031701349113	1.389247743665931	1.794988659767816	3.2993254817983848e-18	0.9126000506753361
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Jaffrey	10768	-0.04915889463319954	-0.05146410371144885	2.188089642478374	1.4792192678836946	1.1276993948934886	0.8874955068498332	2.4668631121383666	3.018142032607966	-3.1673524625264494e-17	1.4792192678836975
study_residual_pair	no_gejman_full_preprocess	Akimitsu2	Marks	10768	0.0574084231813088	0.07024243811346505	0.7391501116808856	0.8597383972353949	0.6493502560675015	0.508566841269326	1.348682566970348	1.6889978691135157	-2.606467130620724e-17	0.8597383972353959
