coverage_group	coverage_description	setting	setting_label	random_state	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson	spearman	r2	delta_vs_human_only_pearson	delta_vs_human_only_r2
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	42	10	462	462	0	0.7054094034510325	0.6934217237717469	0.48626176606447513	0.023693800078611993	0.023785668678971583
all_genes	All genes in the global common human gene universe.	compact_all_global	human_only	101	10	12916	11569	11107	0.7466677139217512	0.7389075522110957	0.5559155424208145	0.0	0.0
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	12916	11569	11107	0.8295041928753848	0.823247658492244	0.687981223346648	0.08283647895363355	0.13206568092583348
all_genes	All genes in the global common human gene universe.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	12916	11569	11107	0.7473574076985804	0.7394940693566752	0.5570004125217756	0.0006896937768291478	0.0010848701009610329
all_genes	All genes in the global common human gene universe.	coverage_aware_fallback	coverage_aware_fallback	101	10	12916	11569	11107	0.8313835845964982	0.8246120788035314	0.6911908640111537	0.08471587067474695	0.13527532159033917
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_global	human_only	101	10	11569	11569	11107	0.7426736160006232	0.7337705354259706	0.5492075896568719	0.0	0.0
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	11569	11569	11107	0.8389428524137045	0.8304735253769757	0.7038120906565106	0.09626923641308127	0.15460450099963874
has_any_mouse_prior	Genes with at least one mouse prior value available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	11569	11569	11107	0.7434386164350789	0.7345350219969903	0.5503826827907174	0.0007650004344557093	0.0011750931338455617
has_any_mouse_prior	Genes with at least one mouse prior value available.	coverage_aware_fallback	coverage_aware_fallback	101	10	11569	11569	11107	0.8389428524137045	0.8304735253769757	0.7038120906565106	0.09626923641308127	0.15460450099963874
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_global	human_only	101	10	1347	0	0	0.7689277839509967	0.7683095054366558	0.590639502674686	0.0	0.0
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	1347	0	0	0.7543990187726988	0.7531006573279132	0.5641771343484729	-0.014528765178297931	-0.02646236832621307
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	1347	0	0	0.7692746951440186	0.7681044946155272	0.5911069010198579	0.00034691119302188156	0.0004673983451718433
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	101	10	1347	0	0	0.7689277839509967	0.7683095054366558	0.590639502674686	0.0	0.0
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_global	human_only	101	10	11107	11107	11107	0.7441378856260218	0.7356201284171032	0.5511338446890409	0.0	0.0
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	11107	11107	11107	0.8426949294759507	0.834305411509048	0.7101338328286402	0.09855704384992892	0.15899998813959926
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	11107	11107	11107	0.7449288243455836	0.7363286830066368	0.5523449667314417	0.0007909387195618178	0.001211122042400814
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	101	10	11107	11107	11107	0.8426949294759507	0.834305411509048	0.7101338328286402	0.09855704384992892	0.15899998813959926
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_global	human_only	101	10	1809	462	0	0.7526272479730662	0.7481736228325604	0.5662336356801418	0.0	0.0
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	1809	462	0	0.7469664768587138	0.7436289031869288	0.5521441028294624	-0.005660771114352481	-0.014089532850679487
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	1809	462	0	0.7529627873108584	0.7482876305251558	0.5666507255024154	0.0003355393377921789	0.00041708982227350866
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	coverage_aware_fallback	coverage_aware_fallback	101	10	1809	462	0	0.7574491713852357	0.7533497541059836	0.5734744056772385	0.004821923412169471	0.007240769997096663
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_global	human_only	101	10	11569	11569	11107	0.7426736160006232	0.7337705354259706	0.5492075896568719	0.0	0.0
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	11569	11569	11107	0.8389428524137045	0.8304735253769757	0.7038120906565106	0.09626923641308127	0.15460450099963874
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	11569	11569	11107	0.7434386164350789	0.7345350219969903	0.5503826827907174	0.0007650004344557093	0.0011750931338455617
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	coverage_aware_fallback	coverage_aware_fallback	101	10	11569	11569	11107	0.8389428524137045	0.8304735253769757	0.7038120906565106	0.09626923641308127	0.15460450099963874
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_global	human_only	101	10	1347	0	0	0.7689277839509967	0.7683095054366558	0.590639502674686	0.0	0.0
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	1347	0	0	0.7543990187726988	0.7531006573279132	0.5641771343484729	-0.014528765178297931	-0.02646236832621307
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	1347	0	0	0.7692746951440186	0.7681044946155272	0.5911069010198579	0.00034691119302188156	0.0004673983451718433
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	coverage_aware_fallback	coverage_aware_fallback	101	10	1347	0	0	0.7689277839509967	0.7683095054366558	0.590639502674686	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_global	human_only	101	10	11107	11107	11107	0.7441378856260218	0.7356201284171032	0.5511338446890409	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	11107	11107	11107	0.8426949294759507	0.834305411509048	0.7101338328286402	0.09855704384992892	0.15899998813959926
