coverage_group	coverage_description	setting	setting_label	n_random_states	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson_mean	pearson_sd	spearman_mean	spearman_sd	r2_mean	r2_sd	delta_vs_human_only_pearson_mean	delta_vs_human_only_pearson_sd	delta_vs_human_only_r2_mean	delta_vs_human_only_r2_sd
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	11107	11107	11107	0.8433309652951907	0.0010148306555757569	0.834889947893536	0.0011527569842178617	0.7111940714947368	0.001697031025947216	0.09774791687584476	0.0007448525937355685	0.15806871150941107	0.0009861254778438108
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	3	10	11107	11107	11107	0.8433309652951907	0.0010148306555757569	0.834889947893536	0.0011527569842178617	0.7111940714947368	0.001697031025947216	0.09774791687584476	0.0007448525937355685	0.15806871150941107	0.0009861254778438108
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_global	human_only	3	10	11107	11107	11107	0.7455830484193458	0.0013878372744166813	0.7369327915478276	0.0011610772792880271	0.5531253599853257	0.0019271094157295508	0.0	0.0	0.0	0.0
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	11107	11107	11107	0.7458059169952165	0.001021424740819531	0.7374426893204623	0.0010023753969445916	0.553504172086486	0.001429412832852267	0.00022286857587057915	0.0004989361721662393	0.0003788121011601235	0.0007378743217366983
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	1809	462	0	0.7464290509846744	0.0008936042401481296	0.7424715091243046	0.0015120111268174157	0.5508344068992951	0.0016071923624402706	-0.006074432724686811	0.0015296148800602902	-0.015139667111019106	0.0024788266227458258
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	3	10	1809	462	0	0.7565988539868437	0.0007446992448284482	0.7519508877111964	0.0012832779675897607	0.5721374624852403	0.0011678973001895338	0.004095370277482339	0.0008786969517707361	0.006163388474926183	0.0013781389605181792
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_global	human_only	3	10	1809	462	0	0.7525034837093614	0.000732131407305165	0.7476121892209449	0.0015906960446507678	0.5659740740103142	0.0011887372560411772	0.0	0.0	0.0	0.0
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	1809	462	0	0.7543409511327489	0.0012116626240870705	0.7490312768475077	0.0006826809539812102	0.5687301259361437	0.0018296509953270104	0.0018374674233875288	0.0013990909368199619	0.0027560519258295426	0.002194295678304829
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	462	462	0	0.7100354463070513	0.007434112745818559	0.6989552833970313	0.008021760812311348	0.4915307162241178	0.008946965057282633	0.030016141713529065	0.005796207873814337	0.03179741679088862	0.0071099297247984436
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	3	10	462	462	0	0.7100354463070513	0.007434112745818559	0.6989552833970313	0.008021760812311348	0.4915307162241178	0.008946965057282633	0.030016141713529065	0.005796207873814337	0.03179741679088862	0.0071099297247984436
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_global	human_only	3	10	462	462	0	0.6800193045935222	0.004601219539586133	0.6666473381287171	0.006916351316198264	0.4597332994332292	0.006586687236591861	0.0	0.0	0.0	0.0
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	462	462	0	0.679599542899986	0.003308333781956107	0.6672220021310878	0.004805986744481744	0.45913660671462314	0.004830422553796037	-0.00041976169353604337	0.0031429062456573846	-0.0005966927186060733	0.005258044639292273
